date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:24	667/667	---M-Z	200	added ('OK')	text/plain	date:Fri,%2007%20Jul%202023%2018:25:25%20GMT	https://www.mattsappliance.com/robots.txt		(from )
14:25:25	256332/256332	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jul%202023%2018:25:26%20GMT	https://www.mattsappliance.com/	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/index.html	(from )
14:25:26	13959/13959	---M-Z	200	added ('OK')	text/javascript	etag:%22x350d5ebd%22	https://www.mattsappliance.com/js/axios.min.js?ccid=x350d5ebd	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/js/axios.min20e8.js	(from https://www.mattsappliance.com/)
14:25:26	202/202	---M--	200	added ('OK')	image/png	etag:%22577a2692-ca%22	https://www.transparenttextures.com/patterns/cream-pixels.png	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.transparenttextures.com/patterns/cream-pixels.png	(from https://www.mattsappliance.com/)
14:25:27	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a438ff-302c%22	https://www.mattsappliance.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.mattsappliance.com/)
14:25:27	106333/106333	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Jul%202023%2018:25:27%20GMT	https://www.mattsappliance.com/images/bg.jpg	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/images/bg.jpg	(from https://www.mattsappliance.com/)
14:25:27	530679/530679	---M-Z	200	added ('OK')	text/css	etag:%22x350d5ebd%22	https://www.mattsappliance.com/css/all.min.css?ccid=x350d5ebd	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/css/all.min20e8.css	(from https://www.mattsappliance.com/)
14:25:27	180527/180527	---M-Z	200	added ('OK')	text/javascript	etag:%22x350d5ebd%22	https://www.mattsappliance.com/js/min/critical.js?ccid=x350d5ebd	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.mattsappliance.com/js/min/critical20e8.js	(from https://www.mattsappliance.com/)
14:25:28	3461/3461	---MCZ	200	added ('OK')	application/javascript	etag:%22d85-nmRVQsTupJw/x4ubrBBWgsznhFE%22	https://unpkg.com/web-vitals@0.2.2/dist/web-vitals.es5.umd.min.js	C:/Users/rroal/Desktop/httrack/fdsadfsa/unpkg.com/web-vitals@0.2.2/dist/web-vitals.es5.umd.min.js	(from https://www.mattsappliance.com/)
14:25:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Jul%202023%2018:25:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/rroal/Desktop/httrack/fdsadfsa/www.googletagmanager.com/gtm.75445.delayed	(from https://www.mattsappliance.com/)
